x,y,z1,z2
0.503227,0.284718,-0.658006,-1.137606
0.367605,0.431846,-0.777995,-0.663981
0.874617,0.119554,0.219072,0.597282
0.067353,0.008225,-2.264724,-2.847824
0.345769,0.215885,0.940812,-0.038241
0.815747,0.448753,0.082453,-0.224477
0.733333,0.184405,1.741902,1.237492
0.628779,0.414298,-0.182029,-0.004378
0.415534,0.114748,1.323053,2.583659
0.209003,0.287449,0.006983,-0.710429
0.521614,0.074403,1.227485,0.937024
0.205798,0.311864,-0.876353,-2.600479
0.774731,0.262684,2.085683,1.002258
0.30663,0.032578,0.606935,0.786449
0.357809,0.008118,0.137824,1.087266
0.07744,0.045502,-0.064795,-1.294695
0.764141,0.448829,-0.563902,-0.682024
0.802884,0.007355,0.28164,0.420173
0.121859,0.008164,-0.775729,-1.761343
0.771756,0.087465,-0.266907,-0.580315
0.688167,0.173175,0.579436,0.822814
0.078508,0.154147,0.371052,-0.174018
0.206699,0.363684,-0.651054,-1.707101
0.350805,0.280217,-1.443099,-2.162375
0.972183,0.282414,-0.484085,-0.040853
0.20911,0.043336,-1.294975,-0.95629
0.220157,0.046372,-0.368214,-0.272672
0.242512,0.470603,0.762933,0.020014
0.790036,0.064775,-0.844038,-0.474705
0.601556,0.452964,0.975807,0.452477
0.355474,0.11928,-0.535872,-0.306117
0.207385,0.292409,-0.554262,-1.0899
0.491646,0.407431,-1.050956,-1.062266
0.553063,0.040223,0.781028,0.835535
0.541695,0.380209,-0.868679,-1.249813
0.335836,0.210986,-0.547905,-0.855061
0.73962,0.051072,0.745278,0.232035
0.023255,0.27364,-0.020008,-0.330163
0.364034,0.329091,-1.347783,-1.415155
0.057145,0.111864,-0.197837,-0.146789
0.768276,0.049516,1.318333,0.787488
0.342611,0.405417,1.024162,1.23652
0.639994,0.133883,-0.113638,0.327842
0.039506,0.367178,-0.278048,-0.642749
0.196765,0.459815,-0.655928,-0.378849
0.067124,0.340078,0.252957,0.445065
0.369497,0.279133,-1.371839,-2.171276
0.006775,0.381155,-0.22467,-0.516083
0.281849,0.054368,0.985999,0.927102
0.412009,0.114351,1.453669,2.47353
0.548577,0.275273,1.439115,0.455417
0.575265,0.204334,0.140136,-0.869725
0.229328,0.165774,1.60947,0.73849
0.844114,0.297307,0.168362,0.687453
0.821698,0.089036,1.83177,0.92471
0.029053,0.256886,-0.307792,-0.968769
0.466514,0.297368,-1.886085,-1.735477
0.133974,0.051438,-1.389475,-1.298889
0.598169,0.475334,1.067018,0.850775
0.46453,0.30956,-1.316283,-1.439876
0.524269,0.437156,-0.183177,-0.233269
0.560372,0.033326,0.43473,0.613242
0.912505,0.199649,-1.367903,-1.159163
0.630152,0.346029,-1.066218,-0.7298
0.874418,0.002838,0.684589,0.068376
0.282338,0.244266,-1.0336,-1.675883
0.581582,0.31043,-0.492159,-0.935904
0.320027,0.237949,-2.44919,-1.968723
0.879393,0.35288,1.089807,0.768019
0.938109,0.494224,0.334851,-0.111961
0.75346,0.297688,1.341242,1.017346
0.284886,0.46244,0.34433,-0.114903
0.092134,0.172519,-0.68751,-0.582336
0.961105,0.383886,0.736929,0.787172
0.429435,0.036255,0.84074,1.364311
0.557214,0.167834,0.499537,0.070067
0.32845,0.229389,-0.353117,-0.950582
0.215076,0.402228,-1.30135,-1.585248
0.833387,0.354177,0.536515,1.207724
0.884047,0.477119,-0.057254,-0.303023
0.545037,0.189685,-1.209337,-1.3209
0.02739,0.001144,-1.89398,-2.834851
0.969757,0.308141,1.171281,0.990173
0.82063,0.315862,0.850401,0.961567
0.370306,0.068269,0.487608,1.129619
0.862074,0.272419,0.269016,0.235653
0.109178,0.223484,0.724166,0.242611
0.988235,0.257465,0.698809,-0.032855
0.038575,0.12726,-0.187218,-0.608258
0.446845,0.401114,0.655487,0.022682
0.219181,0.145617,0.782603,0.688732
0.454795,0.184527,-2.770979,-2.076477
0.884733,0.028717,0.636698,-0.112011
0.311269,0.433768,1.974719,1.193519
0.233799,0.164858,1.315879,0.766696
0.519875,0.064683,1.095528,0.801234
0.383734,0.181003,-1.150103,-1.021722
0.415961,0.424887,-0.909827,-0.542148
0.143542,0.086305,-1.155846,-1.365762
0.835508,0.288182,0.258547,0.614995
0.154162,0.027192,-1.454478,-1.726614
0.274907,0.349828,-1.488872,-2.266302
0.811704,0.373938,0.019021,0.902761
0.817868,0.497642,-1.458522,-1.059248
0.244938,0.421164,-0.40855,-0.973533
0.238376,0.192859,-0.148802,-0.51676
0.159075,0.439918,-0.385404,0.239195
0.547662,0.004685,1.145299,1.004134
0.037079,0.312657,1.200931,0.538768
0.526223,0.336233,0.607768,-0.416666
0.769162,0.166796,0.50729,-0.332891
0.011917,0.121706,0.180355,-1.084031
0.090501,0.291279,0.196436,-0.251629
0.742672,0.390463,0.934681,1.037782
0.64213,0.117967,1.263391,1.090384
0.896696,0.358938,0.412042,0.503981
0.076036,0.071107,0.690573,-0.286531
0.871763,0.034363,0.965756,-0.038687
0.480079,0.398642,0.749936,-0.324777
0.352178,0.131106,-1.180654,-1.261938
0.694728,0.47541,0.038462,-0.351029
0.569574,0.291752,0.094847,-0.504068
0.013214,0.209369,0.563388,0.507715
0.392981,0.005097,-0.541793,-0.15924
0.304524,0.389044,0.19654,0.30343
0.23151,0.013214,-1.360649,-0.283608
0.794263,0.359075,2.137842,1.807137
0.442115,0.27483,-1.173835,-1.717471
0.426505,0.465324,-1.576357,-0.824829
0.265599,0.019532,0.767919,0.447114
0.914015,0.453788,0.032793,0.611598
0.249622,0.070649,-0.10454,0.358771
0.421118,0.499229,-0.285284,-0.248141
0.42414,0.417502,-0.371663,-0.277872
0.300938,0.352468,-1.961958,-1.319807
0.767788,0.448356,-1.010415,-0.778204
0.156176,0.308614,-0.57604,-0.75309
0.983886,0.421881,-1.230694,-0.702127
0.723491,0.036484,0.389387,-0.16852
0.549432,0.005356,1.27991,1.011275
0.503288,0.436545,0.927065,0.078124
0.162478,0.193362,0.013504,-0.482768
0.677119,0.344244,1.250361,1.275093
0.911208,0.237278,-0.267007,-0.265009
0.100023,0.152834,1.158385,0.279549
0.253468,0.479835,0.844418,0.12665
0.966598,0.331777,1.177303,1.30702
0.139132,0.162127,1.096477,-0.185964
0.275669,0.21178,-0.938842,-1.612267
0.422217,0.183581,-1.150245,-1.529545
0.966842,0.076112,0.295355,0.853977
0.232059,0.444404,1.23596,0.24673
0.531518,0.325765,0.004391,-0.791268
0.100343,0.285664,0.108036,-0.380805
0.560449,0.231983,-0.52174,-0.934073
0.963592,0.346197,0.717872,1.332824
0.898039,0.130785,1.808451,1.126003
0.431006,0.155917,0.516237,0.428222
0.045167,0.453422,0.284966,0.131973
0.509483,0.465995,-0.210073,0.646725
0.475456,0.080201,1.294481,1.475591
0.589456,0.287724,-1.167396,-1.304576
0.265858,0.010803,0.494975,0.493801
0.352422,0.458106,-1.069732,-1.054695
0.117922,0.456962,-0.155776,0.307487
0.573404,0.434058,-0.313683,0.075355
0.410712,0.487663,-0.473107,-0.457145
0.695155,0.112688,-0.900404,-0.862769
0.941665,0.076616,-1.223991,-0.463449
0.761349,0.4486,-0.531866,-0.69518
0.527276,0.018128,0.503796,0.6322
0.017685,0.044602,-0.960656,-1.710859
0.250385,0.06894,-0.260898,0.349304
0.752148,0.392645,0.241983,0.767535
0.894987,0.477989,0.7533,0.145074
0.637964,0.347829,-0.391453,-0.247011
0.105272,0.10222,1.352299,0.405234
0.398398,0.305379,-1.021609,-1.554014
0.017838,0.020859,-1.966147,-2.568126
0.282918,0.16495,-1.38177,-1.216971
0.618814,0.363684,-0.224887,-0.668891
0.784253,0.131182,-0.285061,-0.90048
0.07538,0.221225,-0.532609,-0.208403
0.077302,0.422248,-1.290145,-0.596759
0.111498,0.247745,0.837333,0.622906
0.855207,0.04036,0.203452,-0.20811
0.012192,0.327611,-0.519872,-0.581214
0.248463,0.329915,-2.366968,-2.876269
0.755108,0.046662,1.226283,0.605571
0.26891,0.131426,0.632178,0.202676
0.686656,0.038651,-1.064825,-0.724346
0.733471,0.389029,1.237825,1.262022
0.121584,0.417151,0.110411,0.801691
0.625696,0.007202,1.217573,1.288927
0.736309,0.399985,0.435814,0.858431
0.711147,0.128145,-0.495291,-0.62641
0.092943,0.073182,0.150432,-0.310795
0.768627,0.246448,0.987846,0.875923
0.828321,0.06215,1.389151,0.744308
0.646174,0.005402,1.36091,1.474154
0.16051,0.484413,-0.848093,-0.263307
0.107866,0.445502,0.821664,0.804435
0.465736,0.375006,1.358393,0.728456
0.243427,0.094301,-0.480977,0.272341
0.734432,0.225849,2.499196,2.475204
0.697505,0.493889,0.457239,-0.080818
0.910918,0.251179,0.29483,0.199806
0.462669,0.090852,1.769109,1.618643
0.442664,0.01117,0.606026,1.562574
0.989471,0.178668,-0.024417,0.060293
0.373892,0.366705,-0.547297,-0.326627
0.138018,0.181827,0.292486,-0.420874
0.037125,0.184833,1.327133,0.739871
0.798566,0.475563,0.109257,-0.154272
0.775387,0.420859,0.205299,-0.013543
0.963027,0.244511,1.080306,0.609343
0.737331,0.425086,-0.416766,-0.016732
0.286397,0.000488,0.661084,0.199907
0.833829,0.464347,-0.863467,-0.953759
0.383597,0.005203,-0.533006,0.113896
0.106737,0.484825,-0.493829,-0.392375
0.071229,0.036942,-1.03807,-1.937761
0.458335,0.049989,0.792526,1.878566
0.822187,0.418753,0.363814,0.183626
0.944396,0.364279,-0.351415,0.774655
0.554223,0.16791,0.492196,0.075772
0.387396,0.013764,-0.613256,0.101729
0.207614,0.065187,-1.304254,-0.816738
0.657633,0.197452,1.129055,1.18204
0.222309,0.375952,-0.005906,-1.278877
0.333944,0.067445,-0.055072,0.902495
0.817411,0.240116,-0.860246,-0.238876
0.433387,0.131991,1.947192,2.246008
0.764172,0.150713,-0.168786,-0.664494
0.751965,0.307485,2.030185,1.234022
0.854444,0.372869,-0.28155,0.133649
0.578424,0.425254,-0.037041,0.136396
0.303395,0.159228,-0.633302,-0.858226
0.332265,0.311147,-0.731988,-1.323638
0.216831,0.271748,1.227599,0.205982
0.885313,0.495781,0.536968,-0.13552
0.849805,0.20354,0.715371,-0.058606
0.440208,0.48484,-1.110136,-0.648901
0.777539,0.243412,0.495785,0.32597
0.57052,0.309972,-0.761578,-0.837324
0.983124,0.022461,-1.277815,0.167858
0.11249,0.238773,0.901245,0.549643
0.019486,0.173861,1.868243,0.87398
0.559426,0.268742,1.373475,0.500923
0.799603,0.166186,0.563013,-0.146194
0.489372,0.259052,-0.628006,-1.091448
0.183551,0.118456,-1.378361,-1.385517
0.79762,0.343099,2.238091,2.1468
0.899641,0.181033,-0.680113,-0.521629
0.031083,0.323507,-0.479595,-0.235297
0.599725,0.355505,-0.215643,-0.973396
0.3084,0.216373,-0.855664,-1.517371
0.104768,0.124285,0.420905,0.004189
0.872343,0.040543,0.756039,-0.190083
0.706188,0.059556,-0.036281,-0.425685
0.327352,0.190112,-0.955594,-1.489751
0.339849,0.379751,0.390282,0.74281
0.285435,0.351583,-2.335905,-2.086162
0.260517,0.193896,-2.173973,-1.80784
0.245319,0.066682,-0.196292,0.198597
0.030838,0.213199,0.427802,0.258449
0.715129,0.074311,-0.125877,-0.299321
0.590234,0.198032,1.457636,0.078038
0.499489,0.073365,0.753623,0.930083
0.982376,0.191455,0.076651,-0.15119
0.315938,0.09868,1.105191,1.190093
0.724025,0.242206,1.798549,2.579044
0.188144,0.124376,-0.553168,-0.860836
0.197604,0.375906,-0.492687,-1.311901
0.582727,0.48159,0.773633,1.361446
0.075196,0.019898,-1.745471,-2.595882
0.736599,0.057755,0.793774,0.223928
0.943938,0.32575,0.767951,1.146066
0.544137,0.427222,-1.158476,-0.370744
0.330419,0.166537,-1.190998,-1.441351
0.560204,0.140108,0.19818,1.342305
0.222263,0.269444,1.776387,0.289429
0.553277,0.094987,1.263776,1.396156
0.59498,0.016464,0.36104,0.744164
0.255085,0.090837,0.415528,0.960191
0.597665,0.329961,-1.425043,-1.418381
0.745373,0.22118,1.846648,1.67762
0.368032,0.256428,-1.318301,-1.53101
0.59057,0.163592,-0.301739,0.027617
0.295445,0.434119,0.302768,0.203058
0.88687,0.057984,0.35149,-0.116198
0.969879,0.464881,-0.127256,-0.41878
0.126772,0.494697,-0.548753,-0.408274
0.602106,0.056443,1.437024,1.123281
0.4495,0.275029,-0.493443,-1.52502
0.653559,0.133089,-0.373507,-0.094634
0.922255,0.159731,0.485581,0.174566
0.811658,0.223102,-0.424463,-0.560964
0.461952,0.056352,1.165475,1.902423
0.818936,0.237339,-0.228051,-0.221698
0.965713,0.158968,0.789032,0.42611
0.545006,0.229648,-0.770216,-1.04746
0.789029,0.399588,0.400236,0.575823
0.967041,0.073243,0.261836,0.937777
0.925216,0.485313,1.263679,0.428883
0.014755,0.089448,-1.538821,-1.466512
0.770123,0.208713,1.333444,0.466934
0.137087,0.466178,0.020244,-0.119624
0.00061,0.430564,-0.105119,0.260874
0.971283,0.344198,1.017372,1.353046
0.416815,0.171954,-0.554517,-0.789827
0.474037,0.411521,0.433158,-0.610743
0.97258,0.325963,1.461188,1.226903
0.393133,0.109468,1.716726,1.854844
0.877409,0.195148,0.228115,-0.208904
0.58819,0.395544,-0.142377,-0.690467
0.178576,0.05948,-0.796692,-1.126019
0.369528,0.442008,-1.214791,-1.177351
0.399863,0.175677,-1.613564,-1.133761
0.698024,0.008545,-1.848389,-0.849872
0.231968,0.399908,-0.445262,-1.484463
0.156268,0.048402,-1.662448,-1.358697
0.767544,0.019562,0.161557,0.478737
0.207233,0.150256,0.566193,0.042689
0.468391,0.032685,0.256563,1.46916
0.547646,0.405264,-0.220886,-0.544086
0.099336,0.27361,0.423616,-0.16719
0.852064,0.411139,-1.424568,-0.596964
0.88838,0.417227,1.320118,0.720946
0.752834,0.163195,0.368566,-0.157982
0.67686,0.468025,0.527968,-0.258234
0.620829,0.002182,1.56451,1.371895
0.042634,0.417639,-0.665649,-0.913972
0.942367,0.207019,0.268753,-0.081281
0.020432,0.275288,0.356477,-0.138265
0.434119,0.250111,-0.97743,-1.612576
0.078309,0.175769,0.082521,-0.317925
0.966339,0.194446,0.099046,-0.209282
0.93518,0.21619,-0.38984,-0.386795
0.931472,0.248631,1.017473,0.163342
0.992004,0.42974,-0.337299,-0.567968
0.278569,0.257816,-0.154461,-1.380703
0.123476,0.450752,-0.14705,0.443367
0.575906,0.121157,0.022806,0.89899
0.579721,0.124743,0.915412,1.105665
0.562783,0.393347,-0.151252,-0.792198
0.459312,0.079271,2.288074,2.078126
0.662043,0.253544,2.134951,1.776422
0.401175,0.452796,-0.614016,-0.73619
0.092119,0.312963,0.038009,0.012039
0.002335,0.370687,-0.191076,-0.492951
0.061631,0.378027,0.260064,-0.291688
0.153704,0.132815,-1.023464,-1.554973
0.234485,0.488197,-0.616253,-0.797023
0.587594,0.068421,0.323921,0.742546
0.906249,0.488014,0.983475,0.309928
0.555871,0.065141,-0.448617,0.668121
0.522683,0.45684,0.661863,0.308067
0.077089,0.33666,0.442504,0.345894
0.385962,0.10193,0.685597,1.375305
0.613642,0.330877,-1.766084,-1.517637
0.919127,0.164569,0.724067,0.113369
0.023957,0.293004,0.153676,-0.014446
0.310567,0.068345,0.699675,1.231849
0.552605,0.0047,1.000118,1.044678
0.755856,0.401465,0.113398,0.429016
0.302342,0.189792,0.423342,-0.571743
0.761486,0.242573,0.988714,1.246867
0.92842,0.03679,-0.618966,-0.111535
0.963378,0.093034,-0.274881,0.37433
0.145571,0.123644,-1.090127,-1.445899
0.224292,0.286717,0.471193,-0.739243
0.786496,0.162829,0.502487,-0.374577
0.181216,0.452094,-0.061868,0.025007
0.514641,0.347814,-0.649054,-0.587758
0.208988,0.079942,0.314552,-0.29793
0.964218,0.303151,0.986959,0.864428
0.366705,0.362387,-0.448706,-0.247011
0.468635,0.297536,-1.634724,-1.714492
0.569436,0.171527,-0.030731,-0.441621
0.131579,0.497398,-0.274327,-0.309213
0.199588,0.063844,-0.799846,-0.722848
0.819684,0.434028,0.294959,0.029475
0.976638,0.011063,-0.487671,0.157773
0.016114,0.017578,-2.090567,-2.588566
0.049577,0.41529,-1.504229,-1.173057
0.512505,0.309911,-0.117318,-0.832152
0.663127,0.362127,0.144892,0.304919
0.311681,0.143862,-1.353631,-1.30329
0.057206,0.234379,0.412803,-0.452672
0.868742,0.382956,0.918631,0.559404
0.8972,0.245441,0.15471,0.144049
0.901091,0.178973,-0.378308,-0.373474
0.528222,0.403326,0.454562,-0.343834
0.620584,0.026337,0.218466,0.765086
0.146838,0.447547,0.04164,0.243321
0.869505,0.225696,0.043574,0.159986
0.890196,0.074083,0.026644,-0.002906
0.993133,0.121141,0.391171,0.502431
0.254276,0.36875,-0.130678,-1.514899
0.777584,0.496101,1.199734,0.853364
0.967819,0.210559,0.844081,0.207507
0.828763,0.016388,0.916634,0.294541
0.916899,0.168154,0.972206,0.04508
0.413657,0.106477,1.153429,2.428562
0.262486,0.049485,0.776063,0.542104
0.459831,0.38381,0.457149,0.289175
0.201572,0.354742,-0.969678,-1.930672
0.367727,0.051484,0.405244,1.028467
0.023255,0.484047,1.005471,1.51242
0.188937,0.051225,-0.363537,-0.676019
0.295415,0.393851,-0.173303,-0.158415
0.314443,0.487114,-0.428028,-0.580696
0.515801,0.020493,1.270232,0.709236
0.859434,0.055238,0.497502,-0.115151
0.601663,0.446601,-0.407946,0.256115
0.488258,0.27866,-0.21905,-1.124999
0.727245,0.317647,-0.011474,-0.100569
0.423346,0.147433,1.63851,1.372224
0.938689,0.40029,0.779202,0.920644
0.857435,0.149065,-0.976894,-0.188663
0.658366,0.134203,-0.344469,-0.227544
0.090089,0.40882,-1.065423,-0.66878
0.661494,0.411093,0.978631,-0.028988
0.616938,0.36733,0.225983,-0.547245
0.038605,0.045945,-0.5863,-1.420552
0.14934,0.014847,-1.247573,-1.679663
0.73576,0.210285,1.127055,1.497657
0.817914,0.048615,-0.747603,-0.288434
0.252003,0.222751,0.067994,-0.892446
0.550851,0.177737,-1.028852,-0.840874
0.355413,0.305486,-2.346024,-2.269192
0.508675,0.314504,-0.392418,-0.806345
0.469474,0.182361,-2.593979,-2.086176
0.399603,0.244526,-0.800459,-1.133729
0.638743,0.364218,0.586449,0.062253
0.686961,0.329015,0.092575,0.932846
0.335058,0.460975,-1.319447,-0.348494
0.125231,0.186954,0.067843,-0.554831
0.487816,0.209308,-1.585653,-1.213815
0.206195,0.338201,-0.943968,-2.627818
0.860655,0.269337,0.400346,0.386675
0.452689,0.438087,-2.464133,-1.606733
0.739467,0.168704,1.190859,0.690138
0.210025,0.358053,-0.002326,-1.559001
0.134264,0.351461,0.713415,0.250023
0.813535,0.076295,-0.423084,-0.016276
0.282521,0.235355,-1.088791,-1.812862
0.761395,0.466346,0.163634,-0.568038
0.380591,0.274907,-0.727572,-1.662694
0.262593,0.394766,-0.014848,-1.358516
0.569131,0.277028,0.831279,0.040728
0.26627,0.043427,0.540675,0.506206
0.533532,0.158953,2.070509,1.35493
0.250721,0.342046,-2.623157,-2.910356
0.466468,0.493278,0.756408,1.381099
0.921767,0.070008,0.49993,0.206854
0.958358,0.487388,-0.757398,-0.793388
0.84416,0.064897,0.210228,0.299414
0.90576,0.460197,-0.636817,0.081539
0.604257,0.185214,-0.56275,-0.406989
0.195148,0.399161,-0.428542,-0.676333
0.821149,0.456489,0.288118,-0.33783
0.374609,0.080919,0.661794,1.129885
0.849424,0.389044,-0.489509,-0.319039
0.369772,0.098466,-0.816955,0.56618
0.951522,0.398215,0.405058,0.786308
0.466361,0.243503,-1.206892,-2.05421
0.434821,0.119066,1.11448,2.544393
0.736233,0.137377,-0.251929,-0.317116
0.058427,0.237064,0.946088,-0.414024
0.526116,0.071305,1.034737,0.919831
0.872999,0.390249,0.445476,0.380563
0.279911,0.115221,0.005893,0.479953
0.013413,0.133257,-0.242436,-1.009222
0.63592,0.065522,0.173614,0.312736
0.095659,0.062181,1.048896,-0.303585
0.071168,0.294926,-0.095228,-0.222784
0.590341,0.136339,0.853076,1.179074
0.140444,0.346181,0.144185,-0.181488
0.960723,0.126802,-0.557579,0.239857
0.554543,0.143206,1.488505,1.595431
0.624079,0.355993,-0.576764,-0.719812
0.208545,0.269886,0.601894,0.163823
0.632776,0.082963,1.409513,0.909661
0.442329,0.481514,-1.708759,-0.81526
0.497536,0.248203,-0.123716,-0.85648
0.02916,0.09041,-0.459606,-0.877325
0.538247,0.136965,2.217848,2.323607
0.049866,0.06775,-0.533924,-0.775121
0.744808,0.042344,0.441413,0.298926
0.142458,0.308354,-0.868524,-0.561161
0.896925,0.26923,0.631506,0.508133
0.690089,0.027771,-1.452232,-0.954
0.086854,0.431785,-0.61337,0.199417
0.143359,0.373571,0.280724,-0.021578
0.705959,0.224613,2.616012,3.406087
0.926894,0.141482,1.092872,0.543062
0.181537,0.439322,-0.681118,-0.266394
0.705013,0.077577,0.320312,-0.394097
0.162753,0.226581,0.145436,0.17876
0.521065,0.065431,0.914933,0.789678
0.440757,0.278721,-0.618679,-1.63417
0.197177,0.480415,-0.647533,-0.24767
0.384436,0.273228,-0.86443,-1.570082
0.159579,0.307607,-0.46339,-0.853328
0.346197,0.235309,-0.229675,-0.701989
0.140124,0.03859,-2.20072,-1.864337
0.373144,0.483742,0.002175,-0.976624
0.931426,0.4215,1.476967,1.101117
0.5579,0.152132,1.735185,1.329577
0.828122,0.092332,1.594139,0.914412
0.242191,0.185229,-0.746452,-0.611857
0.361501,0.019257,0.696814,1.370653
0.558999,0.426886,0.120395,0.059491
0.604532,0.005539,1.439693,1.333834
0.278401,0.454765,-0.281282,-0.137762
0.591669,0.329839,-1.17256,-1.286576
0.137682,0.174151,0.411236,-0.458261
0.475746,0.164797,-0.294419,-0.949351
0.335332,0.25803,-0.686798,-1.639623
0.433448,0.035264,1.308158,1.42411
0.196841,0.109758,0.392621,-0.373087
0.484398,0.01384,0.893978,1.923944
0.676555,0.20705,3.154142,2.71163
0.781125,0.459464,-0.50135,-0.897989
0.576593,0.056077,0.085584,0.641539
0.323461,0.436591,1.083782,1.107309
0.164767,0.31809,-0.711598,-1.305688
0.123507,0.115755,-0.082319,-0.647031
0.458366,0.213306,-1.749668,-1.936486
0.899702,0.019562,-0.27565,-0.308086
0.749294,0.395117,0.066036,0.6936
0.07068,0.441245,-0.096147,0.026925
0.251179,0.055573,0.13839,0.325119
0.803494,0.419043,0.026782,0.349354
0.470665,0.496544,1.220194,1.700778
0.94873,0.079728,-1.098033,-0.406439
0.139757,0.092882,-0.630347,-1.256233
0.608377,0.45893,0.661674,0.24095
0.544884,0.104738,1.303679,1.57788
0.587503,0.023133,-0.69134,0.189154
0.239048,0.477943,0.040808,-0.360168
0.99115,0.141421,0.90478,0.525773
0.894713,0.433921,0.524286,0.458303
0.737652,0.40766,0.578969,0.528681
0.619959,0.42649,0.161865,0.016869
0.210727,0.479042,-1.775149,-0.998139
0.756085,0.210086,0.905654,0.553362
0.418433,0.366964,0.526694,-0.115986
0.242466,0.045258,0.760274,0.404707
0.614282,0.357534,-0.804694,-0.959289
0.231891,0.185351,0.12026,-0.241642
0.699031,0.404913,1.093045,0.798994
0.494682,0.199817,-0.113475,-0.659498
0.15523,0.207141,-0.166327,-0.398291
0.99118,0.346365,0.440286,0.933362
0.56376,0.352743,0.535546,-0.751143
0.684993,0.361776,-0.184818,0.387549
0.009964,0.240726,-0.750803,-0.674763
0.948653,0.047745,-0.122453,0.749819
0.879377,0.483436,-0.121635,-0.490196
0.449668,0.440421,-2.333201,-1.565693
0.417426,0.266575,-0.910175,-1.644268
0.691402,0.433509,-0.908181,-0.881048
